WORD_ID,SENTENCE_ID,CHRON_ID,WORD,PART_OF_SPEECH,CONTENT_WORD,WORD_LENGTH,IA_AREA,IA_TOP,IA_BOTTOM,IA_LEFT,IA_RIGHT
1_5_1,1_1,1,The,DET,0,3,3087,93,142,66,129
1_5_2,1_1,2,intense,ADJ,1,7,3920,93,142,129,209
1_5_3,1_1,3,interest,NOUN,1,8,4410,93,142,209,299
1_5_4,1_1,4,aroused,VERB,1,7,3969,93,142,299,380
1_5_5,1_1,5,in,ADP,0,2,1421,93,142,380,409
1_5_6,1_1,6,the,DET,0,3,1960,93,142,409,449
1_5_7,1_1,7,public,NOUN,1,6,3479,93,142,449,520
1_5_8,1_1,8,by,ADP,0,2,1421,93,142,520,549
1_5_9,1_1,9,what,DET,0,4,2450,93,142,549,599
1_5_10,1_1,10,was,VERB,1,3,1960,93,142,599,639
1_5_11,1_1,11,known,VERB,1,5,2989,93,142,639,700
1_5_12,1_1,12,at,ADP,0,2,1421,93,142,700,729
1_5_13,1_1,13,the,DET,0,3,1960,93,142,729,769
1_5_14,1_1,14,time,NOUN,1,4,2450,93,142,769,819
1_5_15,1_1,15,as,CONJ,0,2,1519,93,142,819,850
1_5_16,1_1,16,The,DET,0,3,3577,93,142,850,923
1_5_17,1_1,17,Styles,NOUN,0,6,6072,142,208,67,159
1_5_18,1_1,18,Case,NOUN,1,4,3894,142,208,159,218
1_5_19,1_1,19,has,VERB,1,3,2706,142,208,218,259
1_5_20,1_1,20,now,ADV,1,3,2706,142,208,259,300
1_5_21,1_1,21,somewhat,ADV,1,8,5874,142,208,300,389
1_5_22,1_1,22,subsided,VERB,1,8,6468,142,208,389,487
1_5_23,1_2,23,Nevertheless,ADV,1,12,9306,142,208,487,628
1_5_24,1_2,24,in,ADP,0,2,2112,142,208,628,660
1_5_25,1_2,25,view,NOUN,1,4,3300,142,208,660,710
1_5_26,1_2,26,of,ADP,0,2,1914,142,208,710,739
1_5_27,1_2,27,the,DET,0,3,2640,142,208,739,779
1_5_28,1_2,28,worldwide,ADV,1,9,8844,142,208,779,913
1_5_29,1_2,29,notoriety,NOUN,1,9,8118,208,274,66,189
1_5_30,1_2,30,which,DET,0,5,4026,208,274,189,250
