WORD_CLEAN,WORD_FIXATION_COUNT,WORD_FIXATION_%,WORD_GAZE_DURATION,WORD_FIRST_FIXATION_DURATION,WORD_SECOND_FIXATION_DURATION,WORD_THIRD_FIXATION_DURATION,WORD_TOTAL_READING_TIME,WORD_TOTAL_READING_TIME_%,WORD_SKIP,WORD_SPILLOVER,WORD_RUN_COUNT
A,0.308294445,0.003966815,56.86030408,54.68892067,5.64993226,1.002935421,61.34178835,0.003761471,0.764564203,21.39786241,0.298283908
Abbey,1.071428571,0.011907143,249.1428571,160.7857143,90.42857143,12.42857143,263.6428571,0.014485714,0.714285714,36.85714286,0.785714286
About,0.959183673,0.011496939,164.9897959,139.244898,46.13265306,5.785714286,193.8265306,0.011091837,0.428571429,62.92857143,0.826530612
Above,1,0.010892857,152.7142857,144.2142857,32.14285714,7.428571429,183.7857143,0.009914286,0.5,31.78571429,0.857142857
Absolutely,2.071428571,0.025592857,281.7857143,157,161.8571429,73.78571429,404.4285714,0.024321429,0.214285714,26.21428571,1.571428571
Accordingly,1.714285714,0.018614286,272.2857143,193.4642857,94.89285714,37.92857143,341,0.017710714,0.25,13.67857143,1.25
Acting,0.769230769,0.012853846,161.9230769,161.9230769,0,0,161.9230769,0.012946154,0.538461538,14,0.769230769
Admirable,1.607142857,0.019239286,248.8928571,222.1428571,55.21428571,48.96428571,376.1428571,0.021067857,0.071428571,52,1.178571429
Affair,1.230769231,0.014546154,181.5384615,181.5384615,32.61538462,20.15384615,234.3076923,0.0143,0.384615385,43.30769231,1.153846154
Afraid,0.785714286,0.00885,168.1428571,168.1428571,8.357142857,0,176.5,0.009757143,0.428571429,29.78571429,0.785714286
After,1.062753036,0.013427097,200.2362637,182.0069404,42.88259109,6.800462695,231.6899942,0.0138345,0.297860035,87.16020821,0.95951417
Afterwards,1.785714286,0.021271429,235.6428571,177.0714286,130.9285714,31.71428571,339.7142857,0.021192857,0.142857143,49.92857143,1.5
Again,1.107142857,0.012557143,229.5,219,38.78571429,18.21428571,276,0.014767857,0.321428571,34.28571429,1
Ah,0.805819181,0.009840834,148.6988012,133.2908342,30.64435564,4.368506494,169.2338911,0.009975,0.521853147,42.24875125,0.721653347
Aha,0.923076923,0.012865934,177.1868132,177.1868132,14.58791209,0,191.7747253,0.012715659,0.406593407,37.01923077,0.923076923
Alas,1.035714286,0.014235714,212.3928571,201.8214286,52.39285714,0,254.2142857,0.015946429,0.321428571,95.71428571,0.964285714
Albert,1.178571429,0.018028571,210.9285714,199.4285714,43.53571429,11.60714286,254.5714286,0.0187,0.392857143,74.85714286,1.107142857
Alfred,1.030092984,0.01242115,169.1551141,153.2617921,41.30338123,11.865765,219.4723584,0.012513263,0.403465765,98.67962806,0.911073542
All,0.496336996,0.005956914,97.96886447,95.7724359,9.348901099,0,105.121337,0.00603631,0.662087912,15.25915751,0.484432234
Allow,1.285714286,0.013057143,293,225.8571429,79.85714286,82.78571429,388.5,0.017735714,0.357142857,55.35714286,1.142857143
Almost,1.714285714,0.016514286,180.9285714,152.8571429,146,47.78571429,346.6428571,0.015142857,0.214285714,45.92857143,1.5
Already,1.25,0.012956593,197.9313187,173.8269231,68.19230769,3.678571429,245.6978022,0.012209341,0.225274725,65.67032967,1.104395604
Also,1.188186813,0.01540467,192.3832418,174.5260989,61.97802198,24.42445055,287.3076923,0.017503571,0.353021978,46.38873626,1.06043956
Although,1.285714286,0.016957143,197.0714286,176.3571429,82,21.07142857,279.4285714,0.019178571,0.214285714,109.7142857,1.142857143
Always,1.357142857,0.015003571,211.4642857,193.4285714,43.92857143,18.14285714,255.5,0.013546429,0.25,84.03571429,1.214285714
Am,0.393772894,0.005023443,61.01648352,54.93223443,12.95604396,0,67.88827839,0.004205311,0.778388278,4.820512821,0.344322344
Amen,1.071428571,0.016514286,174.5714286,152.3571429,26.85714286,19.78571429,199,0.01525,0.214285714,17.07142857,0.857142857
Amid,0.923076923,0.009453846,196,196,13.53846154,0,209.5384615,0.009838462,0.769230769,50,0.923076923
Amy,0.785714286,0.008485714,145.8571429,145.8571429,53.57142857,0,199.4285714,0.010107143,0.714285714,44.42857143,0.785714286
An,0.317994505,0.003878434,55.15315934,52.46565934,8.892857143,5.080357143,66.43887363,0.00380364,0.762362637,21.58653846,0.300137363
Analytical,1.846153846,0.025261538,287.3076923,216.3846154,103.2307692,45.15384615,378.9230769,0.025876923,0.076923077,171.0769231,1.384615385
And,0.569382342,0.007139621,101.5474422,95.6303903,14.79079197,2.062220538,112.8305419,0.006799761,0.616180371,31.27817355,0.533042819
Annie,1.082722833,0.014485989,182.3217338,165.7094017,45.68315018,11.73321123,231.8076923,0.014510684,0.342185592,62.74450549,0.943528694
Another,1.5,0.025764286,267.3571429,202.9285714,103.5714286,15.85714286,322.3571429,0.027278571,0.5,106.7142857,1.142857143
Answer,0.923076923,0.013161538,193.0769231,193.0769231,24.07692308,0,217.1538462,0.015076923,0.538461538,13.69230769,0.923076923
Any,0.666666667,0.008785714,147.0238095,139.952381,13.30952381,0,153.2619048,0.009847619,0.5,46.71428571,0.619047619
Anyone,1.5,0.01625,281,238.1428571,90.07142857,23.71428571,351.9285714,0.017771429,0.285714286,107.7857143,1.285714286
Anything,1.357142857,0.01795,251.6428571,216.2857143,63.78571429,14.35714286,294.4285714,0.018964286,0.142857143,52.78571429,1.142857143
Anyway,1.182692308,0.015124038,187.1964286,162.3063187,47.40247253,20.07142857,231.7802198,0.013970604,0.199175824,56.22252747,1.017857143
Apache,1.357142857,0.0182,282.1428571,260.3571429,76.78571429,18.57142857,355.7142857,0.022135714,0.071428571,25.35714286,1.214285714
Apartments,1.642857143,0.016164286,313.2857143,238.9285714,110.1428571,25.42857143,374.5,0.017828571,0.142857143,149.5,1.214285714
Apparently,1.214285714,0.013964286,226.3571429,187.4285714,38.92857143,16.85714286,244.8571429,0.014164286,0.214285714,37.07142857,1
Are,0.48822606,0.00661876,93.52040816,86.88461538,10.22762951,3.030612245,100.1428571,0.006500942,0.71978022,22.09497645,0.456828885
